,
,
,
,
,
,
,
,
,
,
Date,Daily Rainfall (mm)
1/1/2013,0
1/2/2013,0
1/3/2013,0
1/4/2013,0
1/5/2013,4.4
1/6/2013,5.6
1/7/2013,5
1/8/2013,2.6
1/9/2013,0.2
1/10/2013,0
1/11/2013,0
1/12/2013,0
1/13/2013,0
1/14/2013,0
1/15/2013,1
1/16/2013,1.2
1/17/2013,2.2
1/18/2013,0
1/19/2013,0
1/20/2013,0
1/21/2013,0
1/22/2013,0.2
1/23/2013,6.4
1/24/2013,2.2
1/25/2013,0.2
1/26/2013,1.6
1/27/2013,4.6
1/28/2013,10.4
1/29/2013,10.8
1/30/2013,6.2
1/31/2013,1.4
2/1/2013,0
2/2/2013,1
2/3/2013,8
2/4/2013,1.6
2/5/2013,3.8
2/6/2013,0.2
2/7/2013,1.6
2/8/2013,0.2
2/9/2013,0
2/10/2013,1
2/11/2013,1.4
2/12/2013,4.6
2/13/2013,3
2/14/2013,5.6
2/15/2013,2.4
2/16/2013,0
2/17/2013,0
2/18/2013,0
2/19/2013,0
2/20/2013,2.2
2/21/2013,9
2/22/2013,10.6
2/23/2013,4.6
2/24/2013,23.6
2/25/2013,1.6
2/26/2013,2.2
2/27/2013,0.2
2/28/2013,8.6
3/1/2013,20
3/2/2013,4.4
3/3/2013,0
3/4/2013,0
3/5/2013,0
3/6/2013,0
3/7/2013,0
3/8/2013,0
3/9/2013,0.8
3/10/2013,0
3/11/2013,4
3/12/2013,22.8
3/13/2013,25.2
3/14/2013,5.6
3/15/2013,1.4
3/16/2013,0
3/17/2013,1.8
3/18/2013,0
3/19/2013,7.6
3/20/2013,3
3/21/2013,0
3/22/2013,0
3/23/2013,0
3/24/2013,0
3/25/2013,0.4
3/26/2013,0.8
3/27/2013,0
3/28/2013,0
3/29/2013,0
3/30/2013,0
3/31/2013,0
4/1/2013,0
4/2/2013,0
4/3/2013,0
4/4/2013,9.8
4/5/2013,2.2
4/6/2013,3.4
4/7/2013,0
4/8/2013,2
4/9/2013,0
4/10/2013,1.2
4/11/2013,1
4/12/2013,8.4
4/13/2013,0
4/14/2013,0
4/15/2013,0
4/16/2013,0
4/17/2013,0
4/18/2013,8.2
4/19/2013,0.8
4/20/2013,0
4/21/2013,0
4/22/2013,0
4/23/2013,0
4/24/2013,0.6
4/25/2013,1.2
4/26/2013,18.6
4/27/2013,2.8
4/28/2013,7
4/29/2013,0
4/30/2013,0.2
5/1/2013,0.2
5/2/2013,1
5/3/2013,0
5/4/2013,0
5/5/2013,0
5/6/2013,0
5/7/2013,0
5/8/2013,0
5/9/2013,0
5/10/2013,0
5/11/2013,21.8
5/12/2013,9.1
5/13/2013,1
5/14/2013,2.6
5/15/2013,1.2
5/16/2013,0
5/17/2013,0.4
5/18/2013,1.6
5/19/2013,0
5/20/2013,2.8
5/21/2013,3.6
5/22/2013,0.4
5/23/2013,9.4
5/24/2013,1.4
5/25/2013,1.2
5/26/2013,2.2
5/27/2013,0.8
5/28/2013,0.4
5/29/2013,2.4
5/30/2013,3.6
5/31/2013,0.2
6/1/2013,0.6
6/2/2013,0
6/3/2013,0
6/4/2013,0.4
6/5/2013,0
6/6/2013,11.4
